t,a,b,c
2024-11-14T07:00:00.000000,(32.34959470544203-19.74355233540108j),(-34.515618866699015-20.70945354974495j),(2.187566801222676+40.23280569118843j)
2024-11-14T07:00:20.000000,(32.598274893147696-19.812437073459268j),(-34.58121057395225-20.63289247959001j),(1.9990139009892036+40.26557660853053j)
2024-11-14T07:00:30.000000,(32.5546382098751-19.922985439939602j),(-34.62386382012778-20.70012998645876j),(2.1366580835511835+40.37265945206293j)
2024-11-14T07:00:50.000000,(32.447643220834685-19.876538784125152j),(-34.544229111001414-20.717533572451696j),(2.1823182188698427+40.42607183694806j)
2024-11-14T07:01:00.000000,(32.44909467563286-19.682165234500278j),(-34.47418978249165-20.600566475079564j),(2.1030754525650095+40.14213327832962j)
2024-11-14T07:01:10.000000,(32.57930260694516-19.740857457031087j),(-34.505280014639474-20.59200316653444j),(1.97731939344221+40.18046596875334j)
2024-11-14T07:01:20.000000,(32.391308368435226-19.767573983896103j),(-34.44847493001913-20.615980648673855j),(2.112875730489505+40.123595734340334j)
2024-11-14T07:01:40.000000,(32.2717552802881-19.68833334131435j),(-34.43590387072191-20.434863671897624j),(2.2452429016666064+39.96170689460086j)
2024-11-14T07:01:50.000000,(32.66533740641143-19.82126908415209j),(-34.622523398949674-20.56339956866666j),(2.0525280760246356+40.18187018006505j)
2024-11-14T07:02:10.000000,(32.49094163652261-19.866979100015392j),(-34.539649722868404-20.49912380327246j),(2.1405366463862134+40.12987397762295j)
2024-11-14T07:02:20.000000,(32.5613101320476-20.000206409788102j),(-34.662618927802605-20.554293721848914j),(2.1678748997876225+40.31956492687463j)
2024-11-14T07:02:30.000000,(32.42974213055152-19.93537833628855j),(-34.59750794045956-20.481944426833383j),(2.185968119109651+40.221370186754285j)
2024-11-14T07:02:50.000000,(32.94339723299826-20.221863664770414j),(-35.02547482871939-20.57625240706662j),(2.1368281090615966+40.63771996379152j)
2024-11-14T07:03:00.000000,(32.786839034412814-19.957674063043868j),(-34.8526673502365-20.63942653401525j),(2.0926554199543745+40.36491550368812j)
2024-11-14T07:03:10.000000,(32.67195775470491-19.88424302619402j),(-34.734055778745905-20.522110177831852j),(2.069827958588316+40.2081256189612j)
2024-11-14T07:03:20.000000,(32.68010727911228-19.9379001763054j),(-34.80295486342162-20.49883441033903j),(2.19103722851975+40.22210656463549j)
2024-11-14T07:03:30.000000,(32.78559148391378-19.935669740787485j),(-34.85884538732998-20.548845927419542j),(2.1828216194493777+40.30082268767056j)
2024-11-14T07:03:40.000000,(32.84662989188929-19.91736204217535j),(-34.98933732488021-20.684362436370208j),(2.170120391020484+40.39661585263894j)
2024-11-14T07:03:50.000000,(32.69686349480539-19.972559539013808j),(-34.935536754810734-20.673779472993665j),(2.323423619175126+40.435904685888566j)
2024-11-14T07:04:00.000000,(32.67884463195702-19.817080513970346j),(-34.818047160232105-20.657616778732923j),(2.1819089591513596+40.301483682906955j)
2024-11-14T07:04:10.000000,(32.567000743631105-19.72159919068684j),(-34.694484279715276-20.584657474176755j),(2.144219011068651+40.16128575992055j)
2024-11-14T07:04:20.000000,(32.5939809626426-19.808347327640515j),(-34.72120679779686-20.540483325578602j),(2.182449588467763+40.17665817822464j)
2024-11-14T07:04:30.000000,(32.642817838538555-19.81146045709102j),(-34.83050428506556-20.64926526995769j),(2.218358489870545+40.28379992653938j)
2024-11-14T07:04:50.000000,(32.62975396544032-19.961208063045177j),(-34.7686535228868-20.44481987717957j),(2.175477486476258+40.22620767874002j)
2024-11-14T07:05:00.000000,(32.99713501512111-19.97252714473608j),(-35.0550823750957-20.51674512910559j),(2.1149077000650496+40.35365142751721j)
