t,a,b,c
2024-11-14T07:00:00.000000,(-25.756655487034244+171.64714449950168j),(157.26634783811485-51.102655950036066j),(-131.50969307259123-119.35094196306365j)
2024-11-14T07:00:20.000000,(-25.775743395833132+171.70318291518265j),(157.31983415966346-51.11769287870274j),(-131.5441118300818-118.785974443074j)
2024-11-14T07:00:30.000000,(-25.782492165379125+171.75673410174733j),(158.51938957618702-51.14575753879301j),(-133.91207875396128-119.14199442668648j)
2024-11-14T07:00:50.000000,(-25.77367656865603+171.70913891980499j),(157.3119013629921-51.135118506854624j),(-131.538205107352-120.35368947126184j)
2024-11-14T07:01:00.000000,(-25.79195057265043+169.43081943594257j),(157.3695672323937-51.14473654112259j),(-131.57761920079145-118.46973143198373j)
2024-11-14T07:01:10.000000,(-26.964241962316578+171.74825750665346j),(158.51218158606738-51.13867412099229j),(-131.5479389454641-118.62644133504747j)
2024-11-14T07:01:20.000000,(-25.791528669298323+169.38439983497935j),(157.34795224684697-51.13466009812557j),(-131.55642380794674-118.28646678924396j)
2024-11-14T07:01:40.000000,(-24.611945348013943+169.43243621917634j),(157.3691080270217-53.500827925484295j),(-133.9323634282265-116.88643823595419j)
2024-11-14T07:01:50.000000,(-26.958712345069284+169.38981302673812j),(159.68352930848852-51.14263310290195j),(-131.54963808465462-118.06357344561071j)
2024-11-14T07:02:10.000000,(-25.780666343770193+169.3625744688837j),(158.48156102795042-51.12392341412881j),(-131.52571298940592-118.16519121613511j)
2024-11-14T07:02:20.000000,(-28.07973697625355+171.59272310043949j),(158.37637450003675-51.10911240570559j),(-131.47183900049322-118.73918012897592j)
2024-11-14T07:02:30.000000,(-25.793955484797415+171.7126785522418j),(157.3262490138389-51.11640477813083j),(-131.53229383118435-117.91537147545763j)
2024-11-14T07:02:50.000000,(-28.15407946221119+174.11814011361253j),(160.8975723739937-53.481083595192395j),(-133.91869532816787-119.93928987699846j)
2024-11-14T07:03:00.000000,(-25.796155495076434+171.733060563697j),(159.68452411002747-51.119971886161274j),(-131.5379866810176-118.51978671199176j)
2024-11-14T07:03:10.000000,(-25.80355664667794+169.41668533527567j),(158.5443321333974-51.13365784379545j),(-133.9159574720701-117.58527098896559j)
2024-11-14T07:03:20.000000,(-25.822663925334084+169.46069431565263j),(158.60546767523755-53.49965743339139j),(-133.95798332587236-117.20966750173652j)
2024-11-14T07:03:30.000000,(-26.946137158972114+171.70662864417466j),(160.83830698049263-53.484090843373735j),(-133.89219014065387-118.33270086261784j)
2024-11-14T07:03:40.000000,(-26.958603747733466+171.7135595940939j),(160.85004176489846-53.48410016015063j),(-133.89143946756275-119.44138979395909j)
2024-11-14T07:03:50.000000,(-26.963011125510334+171.72306853739704j),(159.6860936318453-51.119554294532655j),(-133.89828312108574-119.3548590652712j)
2024-11-14T07:04:00.000000,(-25.802175534364146+169.39482760947038j),(159.71163932970532-51.12824663437493j),(-133.9094650087467-119.29488535604595j)
2024-11-14T07:04:10.000000,(-25.801375224885682+171.7542453038969j),(159.70859385036835-51.12627436367682j),(-131.55683536375827-118.20413346062534j)
2024-11-14T07:04:20.000000,(-25.831647853514+171.8189255583298j),(158.6159397715273-53.493829243914874j),(-131.60909030315705-118.06802794122545j)
2024-11-14T07:04:30.000000,(-25.81695580919347+171.73774811269723j),(159.7270053578061-51.11308487224732j),(-133.9100500217227-118.9353303101784j)
2024-11-14T07:04:50.000000,(-24.677776690306047+171.88143428941063j),(158.67513121462207-53.49142103923794j),(-131.64697081982814-117.39843591531425j)
2024-11-14T07:05:00.000000,(-26.949060296095997+171.6453352844089j),(161.94979562405098-53.45672403458663j),(-133.82555579341638-119.45562512696033j)
2024-11-14T07:05:10.000000,(-28.110518456769114+171.71083698644486j),(159.64172889707137-53.49348778081365j),(-131.53120975551636-118.43769095041505j)
2024-11-14T07:05:20.000000,(-25.83288914880856+171.79861500784568j),(158.60115182861878-53.48299123944844j),(-133.9434425625948-118.35234128680051j)
