t,a,b,c
2024-11-14T07:00:00.000000,(1206.6124-711.5417j),(-1221.5219-690.0909j),(14.909413+1401.6326j)
2024-11-14T07:00:20.000000,(1204.7396-714.7766j),(-1223.0282-686.9218j),(18.288523+1401.6984j)
2024-11-14T07:00:30.000000,(1202.473-717.3224j),(-1222.705-684.5979j),(20.231913+1401.9203j)
2024-11-14T07:00:50.000000,(1204.3707-714.9266j),(-1221.8696-686.5763j),(17.49894+1401.5029j)
2024-11-14T07:01:00.000000,(1201.7017-718.7886j),(-1223.8076-683.4337j),(22.106033+1402.2223j)
2024-11-14T07:01:10.000000,(1203.1487-717.282j),(-1222.7424-685.2346j),(19.59368+1402.5166j)
2024-11-14T07:01:20.000000,(1203.8925-716.8403j),(-1223.3888-684.88007j),(19.496346+1401.7203j)
2024-11-14T07:01:40.000000,(1201.4253-718.6261j),(-1223.5165-683.21783j),(22.091177+1401.8439j)
2024-11-14T07:01:50.000000,(1203.302-716.68427j),(-1222.395-685.2531j),(19.093065+1401.9374j)
2024-11-14T07:02:10.000000,(1204.4795-715.4168j),(-1222.1724-687.3035j),(17.692842+1402.7203j)
2024-11-14T07:02:20.000000,(1208.0671-707.98254j),(-1218.5082-692.92194j),(10.440981+1400.9044j)
2024-11-14T07:02:30.000000,(1205.0446-716.03766j),(-1223.3557-686.6706j),(18.311096+1402.7083j)
2024-11-14T07:02:50.000000,(1202.8291-718.7885j),(-1224.5759-683.9005j),(21.74682+1402.689j)
2024-11-14T07:03:00.000000,(1204.1664-716.9889j),(-1223.5139-686.14703j),(19.347502+1403.136j)
2024-11-14T07:03:10.000000,(1202.8563-718.7536j),(-1224.3165-683.9141j),(21.460222+1402.6677j)
2024-11-14T07:03:20.000000,(1201.557-721.49j),(-1226.1124-680.3573j),(24.55542+1401.8473j)
2024-11-14T07:03:30.000000,(1204.3766-714.69147j),(-1221.9713-686.59424j),(17.594704+1401.2856j)
2024-11-14T07:03:40.000000,(1204.5646-715.57294j),(-1222.4584-686.0363j),(17.893871+1401.6093j)
2024-11-14T07:03:50.000000,(1204.2957-716.177j),(-1223.5988-686.0893j),(19.30303+1402.2662j)
2024-11-14T07:04:00.000000,(1203.8385-717.7799j),(-1224.2466-684.5137j),(20.408142+1402.2936j)
2024-11-14T07:04:10.000000,(1203.3757-718.1169j),(-1224.2136-684.74023j),(20.837812+1402.8572j)
2024-11-14T07:04:20.000000,(1201.5565-722.24347j),(-1226.8248-680.10144j),(25.268314+1402.345j)
2024-11-14T07:04:30.000000,(1204.8074-718.1729j),(-1225.6058-684.4124j),(20.798431+1402.5853j)
2024-11-14T07:04:50.000000,(1199.4689-725.8534j),(-1229.3977-677.3857j),(29.92878+1403.2391j)
2024-11-14T07:05:00.000000,(1207.4132-712.2852j),(-1220.6274-690.7613j),(13.2143+1403.0465j)
